in s,C1 in V
-2.9701786E+00,-1.39160E-02
-2.9701325E+00,-5.61523E-03
-2.9700864E+00,-4.63867E-03
-2.9700403E+00,-4.63867E-03
-2.9699942E+00,-5.61523E-03
-2.9699482E+00,-7.08008E-03
-2.9699021E+00,-6.10352E-03
-2.9698560E+00,-5.61523E-03
-2.9698099E+00,-5.12695E-03
-2.9697638E+00,-3.66211E-03
-2.9697178E+00,-4.15039E-03
-2.9696717E+00,-5.61523E-03
-2.9696256E+00,-3.66211E-03
-2.9695795E+00,-5.61523E-03
-2.9695334E+00,-5.61523E-03
-2.9694874E+00,-5.61523E-03
-2.9694413E+00,-6.59180E-03
-2.9693952E+00,-7.08008E-03
-2.9693491E+00,-5.12695E-03
-2.9693030E+00,-3.66211E-03
-2.9692570E+00,-7.32422E-04
-2.9692109E+00,-4.15039E-03
-2.9691648E+00,-5.61523E-03
-2.9691187E+00,-4.63867E-03
-2.9690726E+00,-4.63867E-03
-2.9690266E+00,-4.63867E-03
-2.9689805E+00,-5.12695E-03
-2.9689344E+00,-5.12695E-03
-2.9688883E+00,-5.61523E-03
-2.9688422E+00,-5.12695E-03
-2.9687962E+00,-6.10352E-03
-2.9687501E+00,-4.15039E-03
-2.9687040E+00,-4.15039E-03
-2.9686579E+00,-2.19727E-03
-2.9686118E+00,-4.15039E-03
-2.9685658E+00,-3.66211E-03
-2.9685197E+00,-6.59180E-03
-2.9684736E+00,-5.12695E-03
-2.9684275E+00,-3.17383E-03
-2.9683814E+00,-4.63867E-03
-2.9683354E+00,-5.12695E-03
-2.9682893E+00,-5.12695E-03
-2.9682432E+00,-5.12695E-03
-2.9681971E+00,-5.12695E-03
-2.9681510E+00,-5.61523E-03
-2.9681050E+00,-5.12695E-03
-2.9680589E+00,-6.10352E-03
-2.9680128E+00,-5.12695E-03
-2.9679667E+00,-5.61523E-03
-2.9679206E+00,-6.10352E-03
-2.9678746E+00,-6.10352E-03
-2.9678285E+00,-4.63867E-03
-2.9677824E+00,-6.10352E-03
-2.9677363E+00,-4.15039E-03
-2.9676902E+00,-6.10352E-03
-2.9676442E+00,-4.15039E-03
-2.9675981E+00,-4.63867E-03
-2.9675520E+00,-7.32422E-04
-2.9675059E+00,-5.12695E-03
-2.9674598E+00,-3.66211E-03
-2.9674138E+00,-9.03320E-03
-2.9673677E+00,-5.61523E-03
-2.9673216E+00,-3.66211E-03
-2.9672755E+00,-4.63867E-03
-2.9672294E+00,1.22070E-03
-2.9671834E+00,-4.63867E-03
-2.9671373E+00,-4.15039E-03
-2.9670912E+00,-4.15039E-03
-2.9670451E+00,-3.66211E-03
-2.9669990E+00,-3.17383E-03
-2.9669530E+00,-1.00098E-02
-2.9669069E+00,-4.15039E-03
-2.9668608E+00,-5.12695E-03
-2.9668147E+00,-5.61523E-03
-2.9667686E+00,-6.59180E-03
-2.9667226E+00,-4.63867E-03
-2.9666765E+00,-6.10352E-03
-2.9666304E+00,-4.63867E-03
-2.9665843E+00,-4.63867E-03
-2.9665382E+00,-5.61523E-03
-2.9664922E+00,-7.08008E-03
-2.9664461E+00,-7.08008E-03
-2.9664000E+00,-4.63867E-03
-2.9663539E+00,-3.66211E-03
-2.9663078E+00,-4.63867E-03
-2.9662618E+00,-5.12695E-03
-2.9662157E+00,-5.12695E-03
